Iter Time Cost State_0
51 4411.814747571945 -13.01686327609355 -13.01686327609355
52 4495.469791173935 -13.020292030972117 -13.020292030972117
53 4579.158002138138 -13.023452644935423 -13.023452644935423
54 4662.822222948074 -13.023617208330283 -13.023617208330283
55 4748.049574613571 -13.031236046621258 -13.031236046621258
56 4831.694051504135 -13.032234714989807 -13.032234714989807
57 4915.367584228516 -13.035874218072959 -13.035874218072959
58 4998.843150138855 -13.037882482224044 -13.037882482224044
59 5082.361742019653 -13.040040037350362 -13.040040037350362
60 5165.904337644577 -13.041737394784601 -13.041737394784601
61 5249.4748702049255 -13.043212386802136 -13.043212386802136
62 5332.97855257988 -13.044056007596573 -13.044056007596573
63 5416.522795915604 -13.045124712359671 -13.045124712359671
64 5500.057718992233 -13.04554068702465 -13.04554068702465
65 5583.642476081848 -13.045826731815863 -13.045826731815863
66 5667.144185304642 -13.046293562861376 -13.046293562861376
67 5750.668614864349 -13.046572798409155 -13.046572798409155
68 5834.212970256805 -13.046828533681037 -13.046828533681037
69 5917.734154701233 -13.047062907669773 -13.047062907669773
70 6001.2283573150635 -13.04747643649908 -13.04747643649908
71 6084.751516819 -13.048249611253947 -13.048249611253947
72 6168.328135728836 -13.049143070134505 -13.049143070134505
73 6251.856330394745 -13.05049875028894 -13.05049875028894
74 6335.363499403 -13.0514856405035 -13.0514856405035
75 6418.902467012405 -13.051392056634045 -13.051392056634045
76 6504.03066110611 -13.052570420409843 -13.052570420409843
77 6587.523798704147 -13.053259018661997 -13.053259018661997
78 6671.0706198215485 -13.053795927291816 -13.053795927291816
79 6754.604607582092 -13.054543599903331 -13.054543599903331
80 6838.116193532944 -13.054855046167894 -13.054855046167894
81 6921.6325776577 -13.055037932721763 -13.055037932721763
82 7005.136646032333 -13.055117111101126 -13.055117111101126
83 7088.673821687698 -13.055201079778646 -13.055201079778646
84 7172.172580957413 -13.05530905715653 -13.05530905715653
85 7255.69419503212 -13.055360951574603 -13.055360951574603
86 7339.233824014664 -13.055416954274387 -13.055416954274387
87 7422.792131662369 -13.055460099942795 -13.055460099942795
88 7506.3047115802765 -13.055504836952386 -13.055504836952386
89 7592.280837059021 -13.05555132508401 -13.05555132508401
90 7682.267167568207 -13.055601743197016 -13.055601743197016
91 7772.288085222244 -13.055648781879398 -13.055648781879398
92 7862.23037981987 -13.055678545265025 -13.055678545265025
93 7952.195745706558 -13.055695656023564 -13.055695656023564
94 8042.194437265396 -13.055712033938661 -13.055712033938661
95 8132.188184261322 -13.055732957716522 -13.055732957716522
96 8222.17815542221 -13.055748828737157 -13.055748828737157
97 8312.133387088776 -13.05575574236476 -13.05575574236476
98 8402.105583190918 -13.055758468481326 -13.055758468481326
99 8492.085653066635 -13.055761885444186 -13.055761885444186
100 8582.09836101532 -13.055765804158673 -13.055765804158673
101 8672.060907840729 -13.055770507888122 -13.055770507888122
102 8762.035484075546 -13.055777062163237 -13.055777062163237
103 8851.99829173088 -13.055788740891309 -13.055788740891309
104 8941.99261021614 -13.055810992189883 -13.055810992189883
105 9032.018896818161 -13.055846665078018 -13.055846665078018
106 9122.06939125061 -13.055889404378107 -13.055889404378107
107 9212.066227674484 -13.055922923545092 -13.055922923545092
108 9302.006845712662 -13.055935276268968 -13.055935276268968
109 9392.020598173141 -13.055942333253306 -13.055942333253306
110 9482.051272630692 -13.055946579702228 -13.055946579702228
111 9572.083065032959 -13.055948034340124 -13.055948034340124
